Date,Tos,Hos,Tug,Hog,Tug12,Hug12
11/11/24 10:09 AM,21.4,95,22,99,24.7,80
11/11/24 10:19 AM,21.4,95,22.1,99,24.6,80
11/11/24 10:29 AM,21.5,95,22.1,99,24.6,80
11/11/24 10:39 AM,21.5,95,22.1,99,24.6,80
11/11/24 10:49 AM,21.6,95,22.1,99,24.6,80
11/11/24 10:59 AM,21.7,95,22.1,99,24.6,80
11/11/24 11:09 AM,21.8,95,22.1,99,24.6,80
11/11/24 11:19 AM,21.8,94,22.1,99,24.6,80
11/11/24 11:29 AM,22,93,22.2,99,24.6,80
11/11/24 11:39 AM,22.1,93,22.2,99,24.6,80
11/11/24 11:49 AM,22.2,92,22.2,99,24.6,80
11/11/24 11:59 AM,22.3,91,22.3,99,24.6,80
11/11/24 12:09 PM,22.6,91,22.4,99,24.6,80
11/11/24 12:19 PM,23.1,90,22.5,99,24.6,80
11/11/24 12:29 PM,23.4,89,22.6,99,24.6,80
11/11/24 12:39 PM,23.5,88,22.6,99,24.6,80
11/11/24 12:49 PM,23.7,87,22.7,99,24.6,80
11/11/24 12:59 PM,24,86,22.7,99,24.6,80
11/11/24 1:09 PM,24.3,85,22.9,99,24.6,80
11/11/24 1:19 PM,24.5,84,22.9,99,24.6,80
11/11/24 1:29 PM,24.6,85,23,99,24.6,80
11/11/24 1:39 PM,24.7,83,23,99,24.6,80
11/11/24 1:49 PM,24.9,82,23.1,99,24.6,80
11/11/24 1:59 PM,25,81,23.1,99,24.6,80
11/11/24 2:09 PM,25.2,80,23.2,99,24.6,80
11/11/24 2:19 PM,25.2,79,23.2,99,24.6,80
11/11/24 2:29 PM,25.1,80,23.2,99,24.6,80
11/11/24 2:39 PM,25.1,80,23.2,99,24.6,80
11/11/24 2:49 PM,24.8,81,23.2,99,24.6,81
11/11/24 2:59 PM,24.8,81,23.2,99,24.6,81
11/11/24 3:09 PM,24.5,81,23.2,99,24.6,81
11/11/24 3:19 PM,24.4,81,23.1,99,24.7,81
11/11/24 3:29 PM,24.3,82,23.1,99,24.6,81
11/11/24 3:39 PM,24.2,83,23.1,99,24.6,81
11/11/24 3:49 PM,24,83,23,99,24.7,81
11/11/24 3:59 PM,23.7,84,23,99,24.7,81
11/11/24 4:09 PM,23.5,84,22.9,99,24.7,81
11/11/24 4:19 PM,23.2,85,22.8,99,24.7,81
11/11/24 4:29 PM,23,86,22.8,99,24.7,81
11/11/24 4:39 PM,22.7,86,22.7,99,24.7,81
11/11/24 4:49 PM,22.4,88,22.6,99,24.7,81
11/11/24 4:59 PM,22.2,88,22.5,99,24.7,81
11/11/24 5:09 PM,21.8,89,22.5,99,24.7,81
11/11/24 5:19 PM,21.6,90,22.4,99,24.7,81
11/11/24 5:29 PM,21.4,91,22.3,99,24.7,81
11/11/24 5:39 PM,21.2,91,22.4,99,24.7,81
11/11/24 5:49 PM,21.1,92,22.3,99,24.7,81
11/11/24 5:59 PM,21,92,22.2,99,24.7,81
11/11/24 6:09 PM,20.9,92,22.1,99,24.7,81
11/11/24 6:19 PM,21,93,22.1,99,24.7,81
11/11/24 6:29 PM,21.1,93,22.1,99,24.7,81
11/11/24 6:39 PM,21.3,93,22.1,99,24.8,81
11/11/24 6:49 PM,21.4,92,22.1,99,24.7,81
11/11/24 6:59 PM,21.5,92,22.1,99,24.7,81
11/11/24 7:09 PM,21.5,92,22,99,24.7,81
11/11/24 7:19 PM,21.5,92,22.1,99,24.7,81
11/11/24 7:29 PM,21.5,91,22,99,24.7,81
11/11/24 7:39 PM,21.5,91,22,99,24.7,81
11/11/24 7:49 PM,21.4,91,22,99,24.7,81
11/11/24 7:59 PM,21.2,91,22,99,24.7,81
11/11/24 8:09 PM,21.1,91,21.9,99,24.7,81
11/11/24 8:19 PM,21,91,21.8,99,24.7,81
11/11/24 8:29 PM,21,92,21.9,99,24.7,81
11/11/24 8:39 PM,21,92,21.8,99,24.7,81
11/11/24 8:49 PM,21,92,21.8,99,24.7,81
11/11/24 8:59 PM,21,91,21.8,99,24.7,81
11/11/24 9:09 PM,20.8,92,21.8,99,24.7,81
11/11/24 9:19 PM,20.8,92,21.7,99,24.7,81
11/11/24 9:29 PM,20.8,92,21.7,99,24.7,81
11/11/24 9:39 PM,20.7,92,21.7,99,24.7,81
11/11/24 9:49 PM,20.6,92,21.6,99,24.7,81
11/11/24 9:59 PM,20.6,93,21.6,99,24.6,81
11/11/24 10:09 PM,20.6,93,21.6,99,24.6,81
11/11/24 10:19 PM,20.5,93,21.6,99,24.7,81
11/11/24 10:29 PM,20.4,93,21.5,99,24.7,81
11/11/24 10:39 PM,20.4,93,21.5,99,24.6,81
11/11/24 10:49 PM,20.4,93,21.5,99,24.6,81
11/11/24 10:59 PM,20.4,93,21.5,99,24.6,81
11/11/24 11:09 PM,20.4,93,21.5,99,24.6,81
11/11/24 11:19 PM,20.4,93,21.4,99,24.6,81
11/11/24 11:29 PM,20.4,93,21.4,99,24.6,81
11/11/24 11:39 PM,20.5,93,21.4,99,24.6,81
11/11/24 11:49 PM,20.5,93,21.4,99,24.6,81
11/11/24 11:59 PM,20.5,92,21.4,99,24.6,81
11/12/24 12:09 AM,20.5,92,21.4,99,24.6,81
11/12/24 12:19 AM,20.5,92,21.3,99,24.6,81
11/12/24 12:29 AM,20.5,92,21.3,99,24.6,81
11/12/24 12:39 AM,20.5,92,21.3,99,24.6,81
11/12/24 12:49 AM,20.5,91,21.3,99,24.6,81
11/12/24 12:59 AM,20.5,91,21.3,99,24.6,81
11/12/24 1:09 AM,20.5,91,21.3,99,24.5,81
11/12/24 1:19 AM,20.5,91,21.2,99,24.6,81
11/12/24 1:29 AM,20.5,91,21.2,99,24.5,81
11/12/24 1:39 AM,20.5,91,21.2,99,24.5,81
11/12/24 1:49 AM,20.5,91,21.2,99,24.5,81
11/12/24 1:59 AM,20.5,91,21.2,99,24.5,81
11/12/24 2:09 AM,20.5,91,21.2,99,24.5,81
11/12/24 2:19 AM,20.5,91,21.2,99,24.5,81
11/12/24 2:29 AM,20.5,91,21.2,99,24.5,81
11/12/24 2:39 AM,20.5,91,21.2,99,24.5,81
11/12/24 2:49 AM,20.5,91,21.2,99,24.5,81
11/12/24 2:59 AM,20.5,91,21.2,99,24.5,81
11/12/24 3:09 AM,20.5,92,21.2,99,24.5,81
11/12/24 3:19 AM,20.5,92,21.2,99,24.5,81
11/12/24 3:29 AM,20.5,92,21.2,99,24.5,81
11/12/24 3:39 AM,20.5,92,21.2,99,24.5,81
11/12/24 3:49 AM,20.5,93,21.2,99,24.4,81
11/12/24 3:59 AM,20.5,93,21.2,99,24.4,81
11/12/24 4:09 AM,20.4,93,21.2,99,24.4,81
11/12/24 4:19 AM,20.4,93,21.2,99,24.4,81
11/12/24 4:29 AM,20.4,93,21.2,99,24.4,81
11/12/24 4:39 AM,20.4,93,21.2,99,24.4,81
11/12/24 4:49 AM,20.4,94,21.3,99,24.4,81
11/12/24 4:59 AM,20.4,94,21.2,99,24.4,81
11/12/24 5:09 AM,20.4,94,21.2,99,24.4,81
11/12/24 5:19 AM,20.4,94,21.2,99,24.4,81
11/12/24 5:29 AM,20.4,94,21.3,99,24.4,81
11/12/24 5:39 AM,20.4,94,21.3,99,24.4,81
11/12/24 5:49 AM,20.3,94,21.3,99,24.4,81
11/12/24 5:59 AM,20.4,94,21.2,99,24.3,81
11/12/24 6:09 AM,20.4,94,21.3,99,24.4,81
11/12/24 6:19 AM,20.5,94,21.3,99,24.4,81
11/12/24 6:29 AM,20.5,94,21.3,99,24.3,81
11/12/24 6:39 AM,20.5,94,21.2,99,24.3,81
11/12/24 6:49 AM,20.5,94,21.3,99,24.3,82
11/12/24 6:59 AM,20.6,94,21.3,99,24.3,82
11/12/24 7:09 AM,20.6,94,21.3,99,24.3,82
11/12/24 7:19 AM,20.6,94,21.3,99,24.3,82
11/12/24 7:29 AM,20.7,93,21.3,99,24.3,82
11/12/24 7:39 AM,20.8,93,21.3,99,24.3,82
11/12/24 7:49 AM,20.9,92,21.3,99,24.3,82
11/12/24 7:59 AM,20.9,92,21.4,99,24.3,82
11/12/24 8:09 AM,21.1,92,21.4,99,24.3,82
11/12/24 8:19 AM,21.2,92,21.4,99,24.3,82
11/12/24 8:29 AM,21.3,91,21.4,99,24.3,82
11/12/24 8:39 AM,21.4,91,21.5,99,24.3,82
11/12/24 8:49 AM,21.8,90,21.5,99,24.3,82
11/12/24 8:59 AM,21.9,89,21.6,99,24.3,82
11/12/24 9:09 AM,22.1,89,21.7,99,24.3,82
11/12/24 9:19 AM,22.4,88,21.7,99,24.3,82
11/12/24 9:29 AM,22.6,86,21.8,99,24.3,82
